Date,Mine,Pit,Production_Tonnes,Target_Tonnes,Equipment_Availability_Pct,Equipment_Utilisation_Pct,Downtime_Hours,Production_Year,Production_Month,Month_Name,Production_Variance_Tonnes,Production_Shortfall_Tonnes,Production_Surplus_Tonnes,Target_Achievement_Pct,Production_Status,Production_Performance_Category,Availability_Status,Utilisation_Status,Downtime_Category,Equipment_Performance_Status,Possible_Production_Constraint,Production_Risk_Level
2025-01-01,Mankokobi Coal Mine,Central Pit,7312.1,7732.2,93.6,73.9,5.3,2025,1,Jan,-420.1,420.1,0,94.57,Below Target,Underperforming,Good Availability,Poor Utilisation,Low Downtime,Available but Underutilised,Low Equipment Utilisation,Medium Risk
2025-01-01,Mankokobi Coal Mine,North Pit,9518.2,8430.8,87.2,82.5,5,2025,1,Jan,1087.4,0,1087.4,112.9,Target Achieved,Target Achieved,Moderate Availability,Moderate Utilisation,Low Downtime,Needs Investigation,No Production Shortfall,Low Risk
2025-01-01,Mankokobi Coal Mine,South Pit,6526.7,7014.9,77.5,65.9,11.1,2025,1,Jan,-488.2,488.2,0,93.04,Below Target,Underperforming,Poor Availability,Poor Utilisation,High Downtime,Availability Constraint,High Downtime / Low Availability,High Risk
2025-01-02,Mankokobi Coal Mine,Central Pit,7596.4,7643.5,80.2,74.2,9.1,2025,1,Jan,-47.1,47.1,0,99.38,Below Target,Slightly Below Target,Moderate Availability,Poor Utilisation,Moderate Downtime,Needs Investigation,Low Equipment Utilisation,Medium Risk
2025-01-02,Mankokobi Coal Mine,North Pit,6342.8,8021.2,83.9,73.1,10.7,2025,1,Jan,-1678.4,1678.4,0,79.08,Below Target,Critical Underperformance,Moderate Availability,Poor Utilisation,High Downtime,Needs Investigation,Low Equipment Utilisation,Medium Risk
2025-01-02,Mankokobi Coal Mine,South Pit,6211.1,6641.3,93.2,80,7.6,2025,1,Jan,-430.2,430.2,0,93.52,Below Target,Underperforming,Good Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Low Risk
2025-01-03,Mankokobi Coal Mine,Central Pit,9549.9,8873.1,94.6,79.5,11.9,2025,1,Jan,676.8,0,676.8,107.63,Target Achieved,Target Achieved,Good Availability,Moderate Utilisation,High Downtime,Needs Investigation,No Production Shortfall,Medium Risk
2025-01-03,Mankokobi Coal Mine,North Pit,7177.2,8215.1,82.2,83.8,6.4,2025,1,Jan,-1037.9,1037.9,0,87.37,Below Target,Critical Underperformance,Moderate Availability,Moderate Utilisation,Moderate Downtime,Needs Investigation,Further Investigation Required,Low Risk
2025-01-03,Mankokobi Coal Mine,South Pit,6333.4,6865.6,86.3,67.7,11.1,2025,1,Jan,-532.2,532.2,0,92.25,Below Target,Underperforming,Moderate Availability,Poor Utilisation,High Downtime,Needs Investigation,Low Equipment Utilisation,High Risk
2025-01-04,Mankokobi Coal Mine,Central Pit,7892.6,7320.5,91.4,85.2,10.5,2025,1,Jan,572.1,0,572.1,107.82,Target Achieved,Target Achieved,Good Availability,Good Utilisation,High Downtime,Effective,No Production Shortfall,Medium Risk
